City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Seoul,KR,2022-04-28 00:06:03,37.5683,126.9778,60.19,21,59,2.73
213,Sala,MA,2022-04-28 00:06:08,34.0389,-6.8166,61.75,93,40,0.0
214,Nkayi,CG,2022-04-28 00:06:09,-4.1841,13.2884,72.18,99,95,3.2
215,Sur,OM,2022-04-28 00:06:09,22.5667,59.5289,86.68,41,0,8.93
216,Coahuayana,MX,2022-04-28 00:06:09,18.7333,-103.6833,85.24,44,0,5.64
217,Irkutsk,RU,2022-04-28 00:06:10,52.2978,104.2964,34.57,64,0,2.24
218,San Lazaro,BZ,2022-04-28 00:06:10,18.0387,-88.6622,74.32,92,92,5.5
219,Tuatapere,NZ,2022-04-28 00:06:10,-46.1333,167.6833,55.65,68,43,1.03
220,Broken Hill,AU,2022-04-28 00:06:11,-31.95,141.4333,67.1,62,94,11.65
221,Graaff-Reinet,ZA,2022-04-28 00:06:11,-32.2522,24.5308,56.71,30,0,7.99
222,Tessalit,ML,2022-04-28 00:05:10,20.1986,1.0114,75.0,14,0,4.7
223,Gonbad-E Qabus,IR,2022-04-28 00:06:12,37.25,55.1672,61.75,77,64,1.23
224,Sola,VU,2022-04-28 00:06:12,-13.8833,167.55,80.01,79,100,14.5
225,Songea,TZ,2022-04-28 00:06:12,-10.6833,35.65,63.45,94,86,7.63
226,Half Moon Bay,US,2022-04-28 00:06:13,37.4636,-122.4286,67.44,65,0,23.02
227,Chokurdakh,RU,2022-04-28 00:06:13,70.6333,147.9167,15.31,92,99,8.12
228,Prundu,RO,2022-04-28 00:06:13,44.0947,26.2269,58.08,73,50,12.82
229,Vao,NC,2022-04-28 00:06:14,-22.6667,167.4833,75.65,68,100,20.87
230,Airai,TL,2022-04-28 00:06:14,-8.9266,125.4092,68.29,72,25,1.52
231,Carros,FR,2022-04-28 00:06:14,43.7894,7.184,58.73,76,0,3.44
232,Vostok,RU,2022-04-28 00:06:15,46.4856,135.8833,38.43,55,4,12.06
233,Amahai,ID,2022-04-28 00:06:15,-3.3333,128.9167,82.06,79,90,2.86
234,Kawalu,ID,2022-04-28 00:06:15,-7.3817,108.2082,75.11,90,98,2.06
235,Torbay,CA,2022-04-28 00:05:49,47.6666,-52.7314,36.75,91,77,6.2
236,Atar,MR,2022-04-28 00:06:16,20.5169,-13.0499,74.64,19,0,9.24
237,Assiniboia,CA,2022-04-28 00:02:04,49.6334,-105.9845,56.17,28,95,9.73
238,Jos,NG,2022-04-28 00:06:16,9.9167,8.9,70.09,73,82,7.65
239,Upernavik,GL,2022-04-28 00:06:13,72.7868,-56.1549,33.08,79,100,6.31
